Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Population 4 6,Both sexes,20 to 24 years,2019,"2,419.50",28.4,11,60.1,41.9,495.6,"1,020.50",89.3,69.2,269.8,333.7
Population 4 7,Both sexes,20 to 24 years,2020,"2,425.80",28.5,11.4,60.1,42.2,489.7,"1,025.10",90.1,69.6,271.8,337.2
Population 4 5,Both sexes,20 to 24 years,2021,"2,398.50",28.3,11.6,59.3,42.1,481.6,"1,013.30",89.4,69,270,333.8
Population 4 5,Both sexes,25 to 29 years,2019,"2,558.20",28.4,9.7,60.1,41.9,553.5,"1,036.10",90.9,74.5,313.2,350
Population 4 5,Both sexes,25 to 29 years,2020,"2,573.10",27.7,10.2,61,42.1,552.1,"1,059.70",90,71.6,307.6,351
Population 4 5,Both sexes,25 to 29 years,2021,"2,553.90",27.1,10.8,60.9,42,545.3,"1,061.40",88.2,68.9,299.6,349.7
Population 4 6,Both sexes,30 to 34 years,2019,"2,538.10",28.6,8.8,56.5,42.1,530.2,994.5,91.1,81,347,358.3
Population 4 7,Both sexes,30 to 34 years,2020,"2,587.60",28.5,9,58.4,42.7,537,"1,025.90",92.1,80.1,347.5,366.5
Population 4 5,Both sexes,30 to 34 years,2021,"2,625.90",28.3,9.2,60,43.2,546.6,"1,052.10",92.1,77.9,343.9,372.7
Population 4 5,Both sexes,35 to 39 years,2019,"2,485.60",31.2,8.9,54,43.1,580.4,931.4,84.8,78.3,333.9,339.7
Population 4 5,Both sexes,35 to 39 years,2020,"2,504.40",30.4,9.8,55.1,42.6,559.2,953,84.1,81.3,347.4,341.5
Population 4 5,Both sexes,35 to 39 years,2021,"2,532.80",27.4,9.3,56.8,42.7,552.3,957.9,85.8,83.8,366.4,350.5
Population 4 5,Both sexes,40 to 44 years,2019,"2,395.60",30.8,9.6,55.1,48.2,550.7,919.7,83.3,71.4,314.7,312
Population 4 5,Both sexes,40 to 44 years,2020,"2,460.40",30.4,8.8,55.4,48.7,579.5,932.2,87.1,72.7,317.5,328.3
Population 4 5,Both sexes,40 to 44 years,2021,"2,505.20",32.5,9.4,55.5,48.5,588.2,961.5,87.9,73.4,311.7,336.6
Population 4 5,Both sexes,45 to 49 years,2019,"2,308.00",37,9.6,56.9,50.2,504.1,910.8,74.2,65,278.8,321.3
Population 4 5,Both sexes,45 to 49 years,2020,"2,246.10",35.2,9.4,56.4,49.3,496.3,876.8,75.4,61.4,268.9,316.8
Population 4 6,Both sexes,45 to 49 years,2021,"2,251.20",31.5,9.8,57.4,50,525.6,856.2,77.6,64.9,274.6,303.7
Population 4 7,Both sexes,50 to 54 years,2019,"2,486.80",40.3,11,68.5,54.9,569.7,996.1,80.7,62.1,263.1,340.4
Population 4 5,Both sexes,50 to 54 years,2020,"2,485.90",40.1,10.9,66.1,53.5,562.7,998.4,78,64.3,275.4,336.5
Population 4 5,Both sexes,50 to 54 years,2021,"2,447.60",42,10.4,63.4,51.4,526.9,996.5,75.5,60.6,275.6,345.3
Population 4 5,Both sexes,55 to 59 years,2019,"2,693.10",43,11.9,77.4,62.1,634.4,"1,054.40",86.3,74.7,280.3,368.7
Population 4 5,Both sexes,55 to 59 years,2020,"2,683.30",42.8,11.8,76.9,61.8,628.7,"1,058.00",85.3,73.2,278.1,366.6
Population 4 6,Both sexes,55 to 59 years,2021,"2,638.90",42.4,11.5,75.3,60.8,614.7,"1,046.40",83.1,70.7,272.4,361.5
Population 4 7,Both sexes,60 to 64 years,2019,"2,467.30",42.1,11.1,73.9,60.2,603.2,928.1,78.5,70.9,253.5,345.6
Population 4 5,Both sexes,60 to 64 years,2020,"2,513.20",42.1,11.2,74.9,60.5,612.3,950.9,79.7,71.3,259.5,350.8
Population 4 5,Both sexes,60 to 64 years,2021,"2,556.50",42.3,11.4,76,60.8,619.9,973.9,81,71.6,263.8,355.7
Population 4 5,Both sexes,65 years and over,2019,"6,279.10",109,29.5,193.1,157.7,"1,559.90","2,407.20",200.3,171.6,552,898.7
Population 4 5,Both sexes,65 years and over,2020,"6,518.10",113.1,30.5,200.1,163.5,"1,616.10","2,492.30",206.9,177.6,582.2,935.9
Population 4 6,Both sexes,65 years and over,2021,"6,758.10",117.1,31.6,207.1,169.1,"1,673.40","2,578.30",212.8,183.4,611.8,973.5
Population 4 7,Both sexes,65 to 69 years,2019,"2,061.90",39,9.9,64.1,53.3,508,770.7,66.4,57.2,195.4,297.8
Population 4 5,Both sexes,65 to 69 years,2020,"2,128.90",39.5,10,65.7,54.6,523.2,794.8,68.5,60,206.8,305.9
Population 4 5,Both sexes,65 to 69 years,2021,"2,195.00",39.8,10.2,67.4,55.9,537,819,70.2,62.5,217.9,315.2
Population 4 5,Both sexes,70 years and over,2019,"4,217.20",70,19.6,129,104.4,"1,051.90","1,636.50",133.9,114.4,356.5,600.9
Population 4 5,Both sexes,70 years and over,2020,"4,389.20",73.6,20.5,134.4,108.9,"1,092.90","1,697.40",138.4,117.6,375.5,630
Population 4 5,Both sexes,70 years and over,2021,"4,563.10",77.3,21.4,139.8,113.2,"1,136.50","1,759.30",142.5,120.9,394,658.3
Population 4 5,Males,15 years and over,2019,"15,158.60",219.2,63.9,389.3,314.7,"3,484.60","5,914.70",515.8,444.1,"1,729.30","2,082.80"
Population 4 5,Males,15 years and over,2020,"15,337.20",218.9,64.9,393.4,316.9,"3,514.40","5,998.30",519.2,446.2,"1,754.60","2,110.50"
Population 4 5,Males,15 years and over,2021,"15,471.20",218.5,65.9,396.8,318.9,"3,538.80","6,059.80",520.7,446.9,"1,771.40","2,133.40"
Population 4 5,Males,15 to 24 years,2019,"2,317.40",28.9,10.6,56.7,42.2,469.7,970.4,88.7,70,266.8,313.4
Population 4 6,Males,15 to 24 years,2020,"2,314.20",28.7,10.8,56.6,42.2,468.1,967.9,88.1,70.2,269.4,312.1
Population 4 7,Males,15 to 24 years,2021,"2,298.00",28.5,11,56.1,42.1,465.9,959.6,87,69.9,269.6,308.3
Population 4 5,Males,25 years and over,2019,"12,841.20",190.4,53.3,332.6,272.5,"3,014.90","4,944.30",427.1,374.1,"1,462.50","1,769.40"
Population 4 5,Males,25 years and over,2020,"13,023.00",190.1,54.1,336.8,274.7,"3,046.30","5,030.40",431.1,376,"1,485.10","1,798.40"
Population 4 5,Males,25 years and over,2021,"13,173.20",190,54.9,340.7,276.8,"3,072.90","5,100.20",433.8,377,"1,501.90","1,825.10"
Population 4 5,Males,25 to 44 years,2019,"5,002.10",58.6,18.3,108.9,86.3,"1,126.30","1,931.70",175.9,155.7,660.7,679.7
Population 4 6,Males,25 to 44 years,2020,"5,085.00",57.6,18.7,111.1,86.8,"1,133.80","1,982.60",177.2,155.7,666.6,695
Population 4 7,Males,25 to 44 years,2021,"5,138.40",56.7,19.3,112.8,87,"1,136.50","2,018.90",177.4,154.8,667.5,707.3
Population 4 5,Males,45 to 64 years,2019,"4,917.80",79.6,21.3,134,112.3,"1,158.00","1,909.00",158.1,138,541.4,666
Population 4 5,Males,45 to 64 years,2020,"4,900.80",78.4,21.1,132.6,111.2,"1,152.80","1,904.10",157.4,136.8,543.6,662.7
Population 4 5,Males,45 to 64 years,2021,"4,880.70",77.3,20.9,131.5,110.3,"1,146.80","1,896.60",156.8,135.6,545.2,659.8
Population 4 5,Males,45 years and over,2019,"7,839.10",131.8,35,223.7,186.2,"1,888.70","3,012.60",251.2,218.4,801.8,"1,089.70"
Population 4 6,Males,45 years and over,2020,"7,938.00",132.5,35.3,225.6,187.9,"1,912.50","3,047.80",253.9,220.4,818.6,"1,103.40"
Population 4 7,Males,45 years and over,2021,"8,034.80",133.2,35.6,227.9,189.8,"1,936.30","3,081.20",256.4,222.2,834.3,"1,117.80"
Population 4 5,Males,25 to 54 years,2019,"7,374.70",96.2,28.5,169.2,138.4,"1,667.20","2,867.50",252.5,220.2,935.6,999.4
Population 4 5,Males,25 to 54 years,2020,"7,423.00",94.2,28.7,169.8,137.7,"1,667.70","2,899.60",253.3,219.5,942.4,"1,010.10"
Population 4 5,Males,25 to 54 years,2021,"7,456.80",92.4,29.2,170.6,137.4,"1,667.50","2,921.80",253.6,218.5,946,"1,019.80"
Population 4 5,Males,55 years and over,2019,"5,466.50",94.2,24.8,163.4,134.2,"1,347.70","2,076.70",174.7,153.9,526.9,770
Population 4 5,Males,55 years and over,2020,"5,600.00",96,25.3,166.9,136.9,"1,378.60","2,130.80",177.8,156.5,542.8,788.4
Population 4 5,Males,55 years and over,2021,"5,716.50",97.6,25.8,170.1,139.4,"1,405.40","2,178.40",180.2,158.4,555.9,805.3
Population 4 5,Males,15 to 64 years,2019,"12,237.30",167.1,50.2,299.7,240.8,"2,754.00","4,811.20",422.7,363.7,"1,468.90","1,659.10"
Population 4 5,Males,15 to 64 years,2020,"12,300.10",164.8,50.7,300.3,240.2,"2,754.60","4,854.60",422.7,362.6,"1,479.60","1,669.80"
Population 4 5,Males,15 to 64 years,2021,"12,317.10",162.5,51.2,300.3,239.5,"2,749.20","4,875.20",421.2,360.3,"1,482.30","1,675.40"
Population 4 6,Males,15 to 19 years,2019,"1,057.10",14,4.7,25.6,20.3,213.8,437.2,41.6,33.5,127.1,139.2
Population 4 7,Males,15 to 19 years,2020,"1,050.50",13.7,4.7,25.4,20.2,214.4,433,40.6,33.4,128.4,136.7
Population 4 5,Males,15 to 19 years,2021,"1,050.00",13.6,4.8,25.3,20.2,216.3,431.3,39.9,33.5,129.7,135.3
Population 4 5,Males,20 to 24 years,2019,"1,260.30",14.9,5.9,31.1,21.9,255.8,533.2,47.1,36.5,139.7,174.2
Population 4 5,Males,20 to 24 years,2020,"1,263.70",15,6.2,31.2,22.1,253.7,534.9,47.5,36.7,141,175.4
Population 4 5,Males,20 to 24 years,2021,"1,248.00",14.9,6.3,30.8,21.9,249.6,528.3,47.1,36.4,139.9,173
Population 4 6,Males,25 to 29 years,2019,"1,312.30",14.6,5.1,30,21,285.4,531.9,46.6,38.5,160,179.2
Population 4 7,Males,25 to 29 years,2020,"1,322.00",14.2,5.4,30.5,21.2,285.2,544.9,46.1,36.9,157.3,180.2
Population 4 5,Males,25 to 29 years,2021,"1,311.90",13.9,5.8,30.4,21.3,281.8,545,45.3,35.6,153.3,179.7
Population 4 5,Males,30 to 34 years,2019,"1,277.00",14.2,4.3,27.4,20.7,268.9,499.3,45.6,41.2,175.3,180.2
Population 4 5,Males,30 to 34 years,2020,"1,304.40",14.2,4.4,28.3,21,273.1,516.8,46.1,40.5,175.7,184.4
Population 4 5,Males,30 to 34 years,2021,"1,325.80",14.2,4.5,29.2,21.2,278.5,531.6,46,39.3,173.7,187.6
Population 4 6,Males,35 to 39 years,2019,"1,238.90",13.9,4.1,25.2,21.2,289.9,465.8,42.3,39.7,166.5,170.3
Population 4 7,Males,35 to 39 years,2020,"1,243.40",13.8,4.8,26.5,21,280.5,463.8,42,40.5,181.9,168.5
Population 4 5,Males,35 to 39 years,2021,"1,267.10",12.6,4.6,27.1,20.7,279.1,470.1,42.6,43.6,194.4,172.2
Population 4 5,Males,40 to 44 years,2019,"1,174.00",15.9,4.8,26.3,23.4,282.1,434.7,41.5,36.3,158.9,150.1
Population 4 5,Males,40 to 44 years,2020,"1,215.20",15.4,4.1,25.8,23.6,295,457.1,43,37.7,151.7,161.8
Population 4 5,Males,40 to 44 years,2021,"1,233.60",16,4.4,26.1,23.9,297.1,472.3,43.5,36.3,146.2,167.9
Population 4 5,Males,45 to 49 years,2019,"1,141.60",17.7,4.6,27.8,24.4,251.4,446.8,37,32.9,140.3,158.6
Population 4 5,Males,45 to 49 years,2020,"1,110.60",17,4.4,26.8,23.8,250.1,431.5,36.9,30.8,137.6,151.8
Population 4 5,Males,45 to 49 years,2021,"1,107.10",15.1,4.6,28.1,24.7,262.2,417.7,38.3,32.7,140.6,143.1
Population 4 5,Males,50 to 54 years,2019,"1,231.00",19.9,5.6,32.4,27.7,289.6,489.1,39.6,31.6,134.5,161.1
Population 4 5,Males,50 to 54 years,2020,"1,227.30",19.6,5.6,31.9,27.2,283.8,485.5,39.2,33.1,138.2,163.3
Population 4 6,Males,50 to 54 years,2021,"1,211.20",20.5,5.2,29.7,25.7,268.7,485.2,37.9,31,137.8,169.4
Population 4 7,Males,55 to 59 years,2019,"1,334.10",21.3,5.7,37.8,30.6,317.4,521.6,42.7,37.8,139.9,179.3
Population 4 5,Males,55 to 59 years,2020,"1,328.80",21.1,5.7,37.5,30.5,314.9,523.4,41.9,37,138.6,178.2
Population 4 5,Males,55 to 59 years,2021,"1,306.70",20.8,5.6,36.7,30,308,517.9,40.7,35.7,135.9,175.4
Population 4 5,Males,60 to 64 years,2019,"1,211.00",20.7,5.4,36,29.7,299.6,451.6,38.8,35.7,126.7,166.9
Population 4 5,Males,60 to 64 years,2020,"1,234.00",20.7,5.4,36.4,29.8,304,463.8,39.4,35.9,129.2,169.4
Population 4 6,Males,60 to 64 years,2021,"1,255.60",20.8,5.4,36.9,30,307.8,475.9,40,36.1,130.8,171.8
Population 4 7,Males,65 years and over,2019,"2,921.30",52.2,13.7,89.7,73.9,730.6,"1,103.50",93.2,80.4,260.3,423.7
Population 4 5,Males,65 years and over,2020,"3,037.10",54.1,14.2,93,76.7,759.7,"1,143.60",96.5,83.6,274.9,440.8
Population 4 5,Males,65 years and over,2021,"3,154.10",56,14.7,96.4,79.5,789.6,"1,184.60",99.6,86.6,289.2,458.1
Population 4 5,Males,65 to 69 years,2019,998,19.2,4.8,31,25.9,250.2,367.1,32.3,28.5,96.1,143
Population 4 5,Males,65 to 69 years,2020,"1,030.00",19.4,4.8,31.7,26.5,257.7,378.7,33.3,29.9,101.7,146.4
Population 4 6,Males,65 to 69 years,2021,"1,062.20",19.4,4.9,32.4,27.2,264.6,390.4,34.3,31.2,107.2,150.5
Population 4 7,Males,70 years and over,2019,"1,923.30",33,8.9,58.7,48,480.5,736.5,60.9,51.9,164.2,280.7
Population 4 5,Males,70 years and over,2020,"2,007.10",34.7,9.4,61.4,50.2,502.1,764.9,63.2,53.7,173.2,294.4
Population 4 5,Males,70 years and over,2021,"2,091.90",36.5,9.8,64,52.3,525,794.2,65.3,55.4,182,307.5
Population 4 5,Females,15 years and over,2019,"15,536.10",226.5,66.4,416.7,327.9,"3,515.90","6,136.00",524.3,439.6,"1,725.10","2,157.60"
Population 4 5,Females,15 years and over,2020,"15,715.40",226.7,67.5,420.7,330,"3,539.10","6,219.40",528.6,441.8,"1,752.40","2,189.10"
Population 4 5,Females,15 years and over,2021,"15,854.90",226.8,68.4,424.5,331.8,"3,560.10","6,281.20",530.8,442.7,"1,772.30","2,216.30"
Population 4 5,Females,15 to 24 years,2019,"2,165.40",26.5,9.6,53.6,40,444.8,901.9,81.3,64.3,251.2,292.3
Population 4 5,Females,15 to 24 years,2020,"2,166.40",26.4,9.8,53.2,40,441.6,902.7,81.2,64.4,253.3,293.7
Population 4 5,Females,15 to 24 years,2021,"2,157.90",26.3,9.9,52.8,40.1,440.1,897.1,80.6,64.5,254.3,292.3
Population 4 5,Females,25 years and over,2019,"13,370.70",200,56.8,363,287.9,"3,071.20","5,234.00",443,375.4,"1,473.90","1,865.30"
Population 4 6,Females,25 years and over,2020,"13,549.00",200.2,57.7,367.5,290,"3,097.50","5,316.70",447.4,377.4,"1,499.10","1,895.50"
Population 4 7,Females,25 years and over,2021,"13,697.00",200.5,58.5,371.7,291.7,"3,120.00","5,384.10",450.2,378.2,"1,518.00","1,924.00"
Population 4 5,Females,25 to 44 years,2019,"4,975.50",60.4,18.7,116.8,89,"1,088.50","1,950.00",174.2,149.4,648.1,680.2
Population 4 5,Females,25 to 44 years,2020,"5,040.40",59.4,19.1,118.8,89.3,"1,093.90","1,988.20",176,150,653.5,692.3
Population 4 5,Females,25 to 44 years,2021,"5,079.50",58.6,19.4,120.3,89.3,"1,095.80","2,014.00",176.6,149.2,654.1,702.2
Population 4 5,Females,45 to 64 years,2019,"5,037.40",82.8,22.3,142.8,115.1,"1,153.30","1,980.30",161.7,134.8,534.2,710.1
Population 4 6,Females,45 to 64 years,2020,"5,027.60",81.9,22.3,141.7,113.9,"1,147.20","1,980.00",161.1,133.4,538.3,708
Population 4 7,Females,45 to 64 years,2021,"5,013.50",80.8,22.2,140.7,112.8,"1,140.30","1,976.40",160.3,132.2,541.3,706.4
Population 4 5,Females,45 years and over,2019,"8,395.20",139.6,38.1,246.2,198.9,"1,982.60","3,284.00",268.9,226,825.9,"1,185.00"
Population 4 5,Females,45 years and over,2020,"8,508.60",140.8,38.6,248.7,200.7,"2,003.60","3,328.60",271.4,227.5,845.6,"1,203.20"
Population 4 5,Females,45 years and over,2021,"8,617.50",141.9,39.1,251.4,202.4,"2,024.20","3,370.10",273.6,229,863.9,"1,221.80"
Population 4 5,Females,25 to 54 years,2019,"7,397.70",100.1,29.2,182,142.1,"1,621.40","2,921.10",252.5,212,915.1,"1,022.30"
Population 4 6,Females,25 to 54 years,2020,"7,434.40",98.2,29.4,182.6,141.1,"1,619.00","2,946.40",253.3,211.8,922,"1,030.50"
Population 4 7,Females,25 to 54 years,2021,"7,459.90",96.4,29.7,183.4,140.4,"1,617.40","2,963.80",253.5,210.9,925.8,"1,038.60"
Population 4 5,Females,55 years and over,2019,"5,973.00",99.9,27.7,181,145.9,"1,449.80","2,312.90",190.5,163.4,558.9,843
Population 4 5,Females,55 years and over,2020,"6,114.70",102.1,28.3,184.9,148.9,"1,478.50","2,370.40",194,165.7,577.1,865
Population 4 5,Females,55 years and over,2021,"6,237.10",104.1,28.7,188.4,151.3,"1,502.60","2,420.30",196.7,167.3,592.2,885.4
Population 4 5,Females,15 to 64 years,2019,"12,178.30",169.7,50.6,313.2,244.1,"2,686.60","4,832.30",417.2,348.5,"1,433.40","1,682.70"
Population 4 5,Females,15 to 64 years,2020,"12,234.40",167.7,51.2,313.7,243.2,"2,682.70","4,870.80",418.2,347.8,"1,445.10","1,694.00"
Population 4 5,Females,15 to 64 years,2021,"12,250.90",165.7,51.5,313.8,242.2,"2,676.20","4,887.40",417.6,345.9,"1,449.60","1,700.90"
Population 4 5,Females,15 to 19 years,2019,"1,006.20",13,4.5,24.6,19.9,205,414.7,39.1,31.5,121.1,132.9
Population 4 5,Females,15 to 19 years,2020,"1,004.20",12.9,4.5,24.3,19.8,205.5,412.6,38.6,31.5,122.5,131.9
Population 4 5,Females,15 to 19 years,2021,"1,007.30",12.9,4.6,24.3,19.8,208.1,412,38.3,31.8,124.1,131.4
Population 4 6,Females,20 to 24 years,2019,"1,159.20",13.5,5.1,29,20,239.8,487.2,42.2,32.8,130.1,159.4
Population 4 7,Females,20 to 24 years,2020,"1,162.10",13.5,5.3,28.9,20.2,236.1,490.1,42.6,32.9,130.8,161.8
Population 4 5,Females,20 to 24 years,2021,"1,150.50",13.4,5.3,28.5,20.3,232,485.1,42.3,32.7,130.2,160.8
Population 4 5,Females,25 to 29 years,2019,"1,246.00",13.8,4.6,30.1,20.8,268.1,504.2,44.3,35.9,153.1,170.8
Population 4 5,Females,25 to 29 years,2020,"1,251.10",13.5,4.8,30.5,20.9,266.9,514.9,43.9,34.7,150.3,170.8
Population 4 5,Females,25 to 29 years,2021,"1,242.00",13.2,5.1,30.5,20.7,263.5,516.4,43,33.3,146.3,170
Population 4 6,Females,30 to 34 years,2019,"1,261.20",14.4,4.5,29.1,21.4,261.3,495.3,45.5,39.8,171.8,178.1
Population 4 7,Females,30 to 34 years,2020,"1,283.10",14.3,4.6,30.1,21.7,263.9,509.1,46,39.5,171.9,182.1
Population 4 5,Females,30 to 34 years,2021,"1,300.10",14.1,4.7,30.8,21.9,268,520.5,46.1,38.5,170.2,185.2
Population 4 5,Females,35 to 39 years,2019,"1,246.70",17.3,4.8,28.8,21.9,290.5,465.6,42.5,38.5,167.4,169.4
Population 4 5,Females,35 to 39 years,2020,"1,260.90",16.7,5,28.6,21.6,278.6,489.2,42.1,40.7,165.5,173
Population 4 5,Females,35 to 39 years,2021,"1,265.80",14.8,4.7,29.6,22,273.2,487.8,43.2,40.2,172,178.3
Population 4 6,Females,40 to 44 years,2019,"1,221.70",14.9,4.8,28.8,24.9,268.6,485,41.9,35.2,155.8,161.9
Population 4 7,Females,40 to 44 years,2020,"1,245.20",15,4.6,29.7,25.1,284.5,475,44.1,35,165.8,166.5
Population 4 5,Females,40 to 44 years,2021,"1,271.60",16.4,4.9,29.4,24.6,291.2,489.2,44.4,37.1,165.5,168.7
Population 4 5,Females,45 to 49 years,2019,"1,166.40",19.3,5,29,25.9,252.7,464.1,37.2,32.1,138.5,162.7
Population 4 5,Females,45 to 49 years,2020,"1,135.50",18.3,5,29.6,25.5,246.1,445.4,38.5,30.6,131.3,165
Population 4 5,Females,45 to 49 years,2021,"1,144.10",16.3,5.2,29.3,25.4,263.3,438.5,39.3,32.2,133.9,160.6
Population 4 5,Females,50 to 54 years,2019,"1,255.80",20.4,5.4,36.2,27.2,280.1,507,41.2,30.5,128.5,179.3
Population 4 5,Females,50 to 54 years,2020,"1,258.50",20.5,5.4,34.2,26.3,279,512.8,38.8,31.2,137.1,173.2
Population 4 5,Females,50 to 54 years,2021,"1,236.40",21.5,5.2,33.7,25.7,258.2,511.4,37.6,29.5,137.8,175.8
Population 4 5,Females,55 to 59 years,2019,"1,359.00",21.7,6.1,39.6,31.5,317,532.8,43.7,37,140.4,189.3
Population 4 5,Females,55 to 59 years,2020,"1,354.50",21.7,6.1,39.4,31.4,313.8,534.6,43.4,36.2,139.5,188.4
Population 4 5,Females,55 to 59 years,2021,"1,332.20",21.6,5.9,38.6,30.8,306.7,528.5,42.5,35,136.5,186.1
Population 4 5,Females,60 to 64 years,2019,"1,256.20",21.4,5.8,38,30.6,303.6,476.5,39.7,35.2,126.8,178.7
Population 4 5,Females,60 to 64 years,2020,"1,279.20",21.4,5.8,38.5,30.7,308.3,487.1,40.3,35.4,130.3,181.4
Population 4 5,Females,60 to 64 years,2021,"1,300.90",21.5,5.9,39.1,30.9,312,498.1,41,35.5,133,183.9
Population 4 5,Females,65 years and over,2019,"3,357.80",56.8,15.8,103.4,83.9,829.3,"1,303.70",107.1,91.2,291.7,474.9
Population 4 5,Females,65 years and over,2020,"3,481.00",59,16.3,107,86.8,856.4,"1,348.60",110.3,94,307.3,495.1
Population 4 5,Females,65 years and over,2021,"3,604.00",61.1,16.9,110.7,89.6,883.9,"1,393.80",113.2,96.8,322.7,515.4
Population 4 5,Females,65 to 69 years,2019,"1,063.90",19.8,5.1,33.1,27.4,257.9,403.6,34.2,28.7,99.3,154.8
Population 4 5,Females,65 to 69 years,2020,"1,098.90",20.1,5.2,34,28.1,265.5,416.1,35.2,30.1,105,159.5
Population 4 5,Females,65 to 69 years,2021,"1,132.80",20.3,5.3,34.9,28.7,272.4,428.6,36,31.3,110.7,164.6
